efficiency_class,starting_torque_category,manufacturer,poles,power_band,n_samples,r1_a,r1_b,r1_r2,r1_median_pu,r1_mad_pu,x1_a,x1_b,x1_r2,x1_median_pu,x1_mad_pu,r2_rated_a,r2_rated_b,r2_rated_r2,r2_rated_median_pu,r2_rated_mad_pu,r20_a,r20_b,r20_r2,r20_median_pu,r20_mad_pu,x2_rated_a,x2_rated_b,x2_rated_r2,x2_rated_median_pu,x2_rated_mad_pu,x20_a,x20_b,x20_r2,x20_median_pu,x20_mad_pu,r_m_a,r_m_b,r_m_r2,r_m_median_pu,r_m_mad_pu,x_m_a,x_m_b,x_m_r2,x_m_median_pu,x_m_mad_pu
IE2,N,WEG,4,1-10kW,176,0.25287357035558,-0.22606867100544836,0.41768181791841563,0.040037169813760945,0.007742065931165401,0.011661357355411083,0.14035316247448965,0.41399798131511123,0.03835023341201524,0.004493112454167916,0.0920408164364293,-0.17789962912928345,0.27391415615895276,0.020593496388312923,0.004745747553162415,0.015943840636220164,0.03743995510266577,0.023739352632621946,0.021897651703070252,0.002799985729361727,0.07791296377508991,0.012882707156531548,0.0052042809667404155,0.08539674143646486,0.008694410303923705,0.011661357355411083,0.14035316247448965,0.41399798131511123,0.03835023341201524,0.004493112454167916,4.9056639485614575,0.17180223884286264,0.3320498183902745,19.476386757678004,3.2848604771238694,0.2029179866496516,0.2322821236266502,0.6665192933939634,1.425859015856826,0.22485171002300564
,,,4,>100kW,172,0.0279315288835249,-0.08817372037920726,0.024075000131215996,0.010085073913672634,0.0014607633696391096,0.0328035830859291,0.03127327782652825,0.06932656530698178,0.04796506805425819,0.0014402251296533955,0.03709673031712543,-0.16585623112354503,0.09005131504200281,0.005212251748610825,0.0007286751970877804,0.06508030315473498,-0.06297358600229142,0.045755907066003076,0.02954503772507596,0.002780311798605953,0.056445981223536064,0.0605620829835054,0.026321118133649013,0.11989426175210693,0.011834113562341271,0.0328035830859291,0.03127327782652825,0.06932656530698178,0.04796506805425819,0.0014402251296533955,22.655318340339942,0.08545283262165497,0.051979280916134574,64.34083961709186,6.219853710896178,5.415802851279888,-0.07688232984969601,0.06435554155283296,2.170749038171385,0.18876034350628368
IE2,N,WEG,2,1-10kW,165,0.33863965082894504,-0.2532002077452455,0.6405851264615536,0.04299818875674271,0.0073661024783710435,0.004298327474819757,0.25789039599131625,0.5241999682928801,0.03528250527898963,0.006748677227385355,0.11467892579899751,-0.17882183700382984,0.2545711600377487,0.026336139063331036,0.005030340516146849,0.04662241834253129,-0.06760291819893569,0.10667176933637057,0.02687349220690556,0.002875081181766142,0.08998308138449047,-0.010085774358656792,0.040652780127281685,0.08134211021978853,0.003450506239520576,0.004298327474819757,0.25789039599131625,0.5241999682928801,0.03528250527898963,0.006748677227385355,2.6630499614225416,0.2325609816727672,0.9280595519928614,18.34043302205722,2.1483904755414187,0.31531965787877914,0.1982737404521512,0.7278060971035092,1.603621473418052,0.2451334313139446
IE2,N,WEG,4,10-100kW,165,0.05988990685898153,-0.09550593423771062,0.5189937980514491,0.0221239897365208,0.001247317565871025,0.020634416991257922,0.07911384169390741,0.33221905471896895,0.047563788304110045,0.0034042986284611304,0.2750599729649256,-0.29345083654557336,0.6798853459247667,0.013907771787340028,0.0025904018011112164,0.014239223718643498,0.06697582343461086,0.2995399003783261,0.02827340144662772,0.001995973452210406,0.13989741668526487,-0.026385049999812768,0.032149424279244165,0.11086419435953167,0.007658144360881455,0.020634416991257922,0.07911384169390741,0.33221905471896895,0.047563788304110045,0.0034042986284611304,1.8071266864938973,0.28388088868104494,0.7974536671423123,35.34176995909506,4.460967979049286,0.1477453122130729,0.24712784507979838,0.7815715980405624,1.7837720787552118,0.3219650345867233
,,,2,>100kW,156,0.14195290549319595,-0.23864375292143752,0.052986349184015125,0.008588783273151199,0.002195668583625139,0.047785603377922016,-0.0021429048256429747,0.0002667838293533009,0.0468527514484591,0.0018297808299711227,0.03722160333132074,-0.16821233526759147,0.12388223835908907,0.004839637254949345,0.0006067753729133807,0.016953927028925835,0.03793531299732353,0.011840563152786032,0.026512156481690113,0.0023962083931651414,0.04207687489190235,0.08186746761910224,0.06527868910760493,0.1145455995737398,0.00877439540572985,0.047785603377922016,-0.0021429048256429747,0.0002667838293533009,0.0468527514484591,0.0018297808299711227,70.14756038800735,-0.033642163430858615,0.00604440738867873,47.3799931345661,7.0117073791913676,0.48476808756961415,0.14155040105859568,0.11998309009433739,2.7933534501473893,0.2797773826812717
IE2,N,WEG,2,10-100kW,154,0.5579511427748489,-0.29391418839178757,0.8702223182701759,0.027824853491078994,0.005374252085141452,0.007818134826788375,0.16197101884560308,0.7427684142243097,0.03800648399681912,0.005585604290175936,0.25764739794207814,-0.2978597102340041,0.6210502781299347,0.011400997757339234,0.002796668067668693,0.023762333581405316,0.005151019957543584,0.0011371039947828399,0.025250951277455486,0.001904591579775487,0.020798508166891803,0.14505213187606075,0.6570687029029183,0.09176732640851556,0.010269126989058519,0.007818134826788375,0.16197101884560308,0.7427684142243097,0.03800648399681912,0.005585604290175936,3.2382235339594225,0.21953433422506538,0.6019001862586679,31.229587177913324,6.403341213957983,0.2798522806307534,0.1914029339998181,0.7565881337771336,1.9039442696687765,0.23524976305839496
IE2,N,WEG,4,>100kW,146,0.0024812801785322634,0.14294767567796557,0.15842445960370088,0.014947384920469674,0.0016498771974329616,0.0026092780357432066,0.24464781924839255,0.5160119690124398,0.05284972085656571,0.005066272784922436,0.015582463538650499,-0.08115293964761118,0.043162168259545775,0.005901570118147714,0.0006000183790868716,0.007432269450068182,0.11715585661841764,0.13715384750483273,0.03169848525508561,0.0029134106023767387,0.03446256303689014,0.11015555862811746,0.3311923046237851,0.13034107765793052,0.007030157792044987,0.0026092780357432066,0.24464781924839255,0.5160119690124398,0.05284972085656571,0.005066272784922436,17.97805786501296,0.07622908147919304,0.07284683575257456,44.97992962326359,3.69507027856778,0.038415333202549404,0.34676503492740113,0.7747625738057107,2.747741746721048,0.261713680175784
IE2,N,WEG,6,1-10kW,132,0.04563991303153211,-0.008254181443669312,0.0017123228614474018,0.04346058985174624,0.004638204439225108,0.04790173296563561,-0.02501055749255432,0.07852735795051691,0.03923174527936098,0.0018257669551322644,1.4796099504440605,-0.49907732966293394,0.6561903214575454,0.029060567937626038,0.011139006838778543,0.018227848189366035,0.030647534114965815,0.05455731684128118,0.02392115604816696,0.0016838314838717814,0.5175314497949761,-0.19991633120894456,0.5399385674572796,0.1062605739091359,0.01216265790797022,0.04790173296563561,-0.02501055749255432,0.07852735795051691,0.03923174527936098,0.0018257669551322644,1.9041754682013678,0.30181524300068996,0.5631874994499009,23.54041880130114,3.4301847693412313,0.5929053236757332,0.05611266190467413,0.3403394524012062,0.952445691241905,0.05071723222726565
IE2,N,WEG,2,>100kW,128,0.05920483150697193,-0.09732367069409312,0.49222774487004284,0.018368411680403006,0.0006162934065844575,0.06563092002741076,-0.022696308554456823,0.015241664840112912,0.049768568498582,0.0029263963708101373,0.9647276178270066,-0.42380988999672614,0.4011727624868826,0.005705992132947358,0.0013878876208310658,0.030127895974345963,-0.012954360410731544,0.005467491380050649,0.026171876005956725,0.001553347475498455,0.05139971913927268,0.0689287403761631,0.2211630827468608,0.11793145100486671,0.005268338011243795,0.06563092002741076,-0.022696308554456823,0.015241664840112912,0.049768568498582,0.0029263963708101373,2.574469164840088,0.24369654051141215,0.5781865965432414,50.82205415132678,4.609971130137094,0.16527702765861846,0.24115054146611417,0.3244004953789327,3.2461223049306724,0.40906479237555127
IE2,N,WEG,6,10-100kW,117,0.6323632734561967,-0.31654009143537953,0.8869580157991301,0.02281875236692941,0.004350041117570456,0.0205398081800759,0.08276613571314416,0.5296447845105667,0.04849617717902487,0.00267242774444737,0.012360510834670619,0.00045899527814234473,0.0002794917634909577,0.012565399980359902,0.0002954396347358383,0.01780558757789178,0.0462576229522224,0.10223510679403691,0.02860411914368301,0.0016848138552336064,0.006510199779099413,0.2695427045529913,0.6915233186021712,0.1143215830829027,0.017905775872560592,0.0205398081800759,0.08276613571314416,0.5296447845105667,0.04849617717902487,0.00267242774444737,0.9222222596841243,0.34446097564400063,0.8713572052247488,32.354639046838585,6.989179545774238,0.4752206809331331,0.12704282507201903,0.6247947127548554,1.7638336781986477,0.1282666611499399
