motor_id,manufacturer,efficiency_class,starting_torque_category,group_id,frequency_hz,poles,rated_voltage_v,rated_power_w,rated_speed_rpm,rated_current_a,rated_torque_nm,ist_in,mst_mn,mk_mn,r1,p_rot,s_r,s_k,i2_rated,r2_rated,r20,g_r,r2k,x2k,x20,g_x,x2_rated,x1,e_internal,r_m,i0p,i0q,x_m,converged,status,error_type,error_message,elapsed_ms,row_index
WEG_IE1_0p1kW_2P_380V_001,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,120.0,2870.0,0.524,0.40207,6.5,4.5,5.0,,,,,,,,,,,,,,,,,,,,False,error,ZeroDivisionError,float division by zero,0.123,1
WEG_IE1_0p2kW_2P_380V_002,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,180.0,2790.0,0.602,0.61782,5.0,2.4,2.4,,,,,,,,,,,,,,,,,,,,False,error,ZeroDivisionError,float division by zero,0.137,2
WEG_IE1_0p2kW_2P_380V_003,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,250.0,2745.0,0.781,0.87279,4.5,2.3,2.4,,,,,,,,,,,,,,,,,,,,False,error,ZeroDivisionError,float division by zero,0.065,3
WEG_IE1_0p4kW_2P_380V_004,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,370.0,2790.0,0.978,1.26506,5.0,2.5,3.0,,,,,,,,,,,,,,,,,,,,False,error,ZeroDivisionError,float division by zero,0.118,4
WEG_IE1_0p6kW_2P_380V_005,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,550.0,2755.0,1.39,1.90249,5.0,2.5,2.8,18.74637219058227,89.79796589384225,0.08166666666666667,0.3912885075440301,1.074809478725004,14.609410344450644,10.332644459058354,0.361430308624264,13.698633020157152,9.331939343647806,6.14224219047995,0.5360845800129546,10.266828373894807,6.14224219047995,192.58985643638772,1239.1434182162877,0.13494816902662188,0.6539801510995378,294.48884054445097,True,ok,,,0.229,5
WEG_IE1_0p8kW_2P_380V_006,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,750.0,2805.0,2.06,2.54973,5.0,2.4,2.4,13.529475484164225,57.97057776504826,0.065,0.29781325749026427,1.4303954573590674,8.6793407307445,6.048743801927836,0.3734355160951238,8.2711769865002,15.596942853514754,4.195120990966967,1.5670719333685204,19.09083972736927,4.195120990966967,192.9405291005791,1926.4624851844667,0.14002632478862176,1.221492217293188,157.95477561709973,True,ok,,,0.193,6
WEG_IE1_1p1kW_2P_380V_007,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,1100.0,2790.0,2.63,3.76575,5.8,2.1,2.5,8.585412900511145,98.17320736617455,0.07,0.27626329718833575,2.119319092764398,6.396237691106943,3.558281416745892,0.6081019430076766,5.96916182602179,9.447875284514323,3.853297599095363,1.0542282162429282,10.650322516380143,3.853297599095363,194.96339455608376,1161.5406963853886,0.09981374555052014,1.222055780577661,159.53723034142132,True,ok,,,0.139,7
WEG_IE1_1p5kW_2P_380V_008,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,1500.0,2840.0,3.52,5.04062,6.3,2.7,2.6,5.501913983009254,133.9960673968739,0.05333333333333334,0.27775931950916755,2.7386020773920543,3.826689581788284,2.8998147681840756,0.28505895127052755,3.6947152337925844,8.078995265250393,2.611881400046533,1.3287051904922136,9.514894317846455,2.611881400046533,198.2161016842693,879.6442402419011,0.201352671767963,1.6467899154100796,120.36514180068318,True,ok,,,0.137,8
WEG_IE1_2p2kW_2P_380V_009,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,2200.0,2810.0,4.83,7.48247,6.8,2.8,2.9,2.838581671039815,208.16799833878665,0.06333333333333334,0.3429714931878789,3.8065126576175525,3.34014961934599,2.0321806198528725,0.5134307471063451,3.0810870981169383,4.937990001906563,2.285613430859943,0.9503449606267658,5.73388290080883,2.285613430859943,201.93544647812465,587.6684918392904,0.32590701304426606,2.092458328256334,96.50631687676163,True,ok,,,0.121,9
WEG_IE1_3p0kW_2P_380V_010,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,3000.0,2870.0,6.39,10.00278,6.8,2.0,2.8,2.4775684691369717,228.80183774156296,0.043333333333333335,0.161722201661318,5.541062210489052,1.5566821445890193,1.1072605116995176,0.34829779491135004,1.523151817722761,3.4057376696071966,1.7778020939936636,0.7100277444167339,3.5603229659859483,1.7778020939936636,200.02920053678596,524.6244714945847,0.0512258037919846,2.5468711983322185,78.53918983722937,True,ok,,,0.111,10
WEG_IE1_4p0kW_2P_380V_011,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,4000.0,2875.0,8.22,13.33704,6.8,2.4,3.0,1.6457808317705318,292.57092125490914,0.041666666666666664,0.19090593428863092,6.875851621959064,1.2192046536926957,1.0687396539488863,0.1345516457473752,1.2062408685362296,2.3597222921988004,1.4174965984307768,0.5665964759821587,2.468372804585953,1.4174965984307768,201.9082814461025,418.02125045434093,0.31081782205634845,3.3573486708411484,60.13920543900986,True,ok,,,0.12,11
